Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-470.07067904249215,42,1470,56800,7350,770,29740,3850
2,-230.2309677547924,24,840,32448,4200,140,5386,700
3,-448.10519326327835,43,1505,58214,7525,805,31122,4025
4,-252.03077268387582,35,1225,47338,6125,525,20282,2625
5,-497.614468194539,47,1645,63590,8225,945,36520,4725
6,-497.57861315323674,70,2450,94662,12250,1750,67580,8750
7,-493.3379531343758,46,1610,62272,8050,910,35206,4550
8,-486.54241615744394,41,1435,55510,7175,735,28414,3675
9,-470.83355167439083,49,1715,66280,8575,1015,39242,5075
10,-343.1431393994914,40,1400,54106,7000,700,27032,3500
11,-449.339889891068,37,1295,50088,6475,595,23002,2975
12,-263.1720341341938,34,1190,46044,5950,490,18948,2450
13,-498.93541716413534,88,3080,119118,15400,2380,92030,11900
14,-250.98270184227647,33,1155,44678,5775,455,17596,2275
15,-456.26104773325386,33,1155,44686,5775,455,17584,2275
16,-498.70076289554214,69,2415,93384,12075,1715,66306,8575
17,-459.00048098581533,40,1400,54132,7000,700,27056,3500
18,-496.8329895535718,65,2275,87948,11375,1575,60872,7875
19,-497.8585758168011,46,1610,62292,8050,910,35204,4550
20,-433.7672924160348,56,1960,75812,9800,1260,48746,6300
