Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-491.3131553980042,57,2850,110586,14250,1850,71764,9250
2,-496.71218175511774,86,4300,166708,21500,3300,127912,16500
3,-495.0374914507592,48,2400,93018,12000,1400,54224,7000
4,-498.05763394797276,66,3300,127990,16500,2300,89184,11500
5,-496.10135817231895,53,2650,102774,13250,1650,63974,8250
6,-392.6179884009075,33,1650,64006,8250,650,25200,3250
7,-484.1971563819869,46,2300,89184,11500,1300,50398,6500
8,-479.2513648289171,97,4850,188122,24250,3850,149344,19250
9,-440.86370725373985,40,2000,77510,10000,1000,38724,5000
10,-427.8225902696045,54,2700,104786,13500,1700,65968,8500
11,-494.9540961006562,33,1650,63938,8250,650,25144,3250
12,-455.16969653005634,72,3600,139564,18000,2600,100774,13000
13,-494.9877042903041,53,2650,102800,13250,1650,63976,8250
14,-377.175983298725,37,1850,71766,9250,850,32952,4250
15,-486.78847772085027,65,3250,126120,16250,2250,87302,11250
16,-450.7759834429315,45,2250,87282,11250,1250,48472,6250
17,-409.2187327667819,26,1300,50400,6500,300,11608,1500
18,-486.05912251820564,33,1650,63974,8250,650,25172,3250
19,-475.02965054712354,44,2200,85306,11000,1200,46530,6000
20,-471.105132575205,27,1350,52318,6750,350,13534,1750
