Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-411.5892383290633,22,770,29744,3850,70,2690,350
2,-489.1219582144944,41,1435,55480,7175,735,28414,3675
3,-465.1015701709895,33,1155,44666,5775,455,17590,2275
4,-496.2366945200694,50,1750,67684,8750,1050,40600,5250
5,-480.4604608881631,46,1610,62202,8050,910,35150,4550
6,-476.35814597667786,63,2205,85246,11025,1505,58190,7525
7,-251.56399637319169,30,1050,40578,5250,350,13490,1750
8,-458.01838712259996,48,1680,64934,8400,980,37886,4900
9,-457.31794639927875,75,2625,101530,13125,1925,74456,9625
10,-498.78847865865527,125,4375,169146,21875,3675,142074,18375
11,-330.0681788729258,44,1540,59570,7700,840,32472,4200
12,-480.8196336263279,54,1890,73034,9450,1190,45968,5950
13,-463.2577026517118,41,1435,55520,7175,735,28432,3675
14,-285.5618574865166,26,910,35178,4550,210,8100,1050
15,-461.6601818075401,50,1750,67612,8750,1050,40550,5250
16,-244.82237739379576,25,875,33836,4375,175,6738,875
17,-496.12025006953087,51,1785,69020,8925,1085,41942,5425
18,-495.2963011202,49,1715,66304,8575,1015,39234,5075
19,-484.4470799570181,79,2765,106918,13825,2065,79876,10325
20,-488.8958501495396,34,1190,45998,5950,490,18920,2450
